step,reward
406,-176.91887033609538
407,-75.93399590900177
408,-75.51427518747312
409,-42.79169976838764
410,-69.85168046288351
411,-80.49187180345979
412,-86.02416485436123
413,-38.53527146051084
414,-67.33064668249486
415,-112.5912912369818
416,-92.78305770934068
417,-88.99123946527024
418,-81.48336239679156
419,-210.75090156509822
420,-38.799760888150956
421,-81.88500231280555
422,-120.52689383141072
423,-51.81029072644467
424,-159.6432949957176
425,-78.05630721035594
426,-113.4595052232225
427,-67.44122794550572
428,-55.44263066764128
429,-92.83111426808647
430,-217.7377899044888
431,-185.95842750906417
432,-138.669839272
433,-47.98870864033724
434,-87.0706942766988
435,-84.89282954141567
436,-56.34760026317068
437,-45.74858158081074
438,-41.559720126414405
439,-74.16423300384385
440,-72.143066062515
441,-119.5893646086601
442,-103.21899141996852
443,-60.51475355350572
444,-37.32661685051106
445,-101.78584227663366
446,-245.14176607775596
447,-103.18167822755069
448,-83.61362839903678
449,-46.347451186721614
450,-46.03048069760905
451,-62.448762004561544
452,-27.44308136377107
453,-91.00145340315501
454,-142.39995844845183
455,-65.80101742315864
456,-84.22539853017089
457,-72.7084592027789
458,-89.09708042532063
459,-75.6604312125456
460,-104.22135172162629
461,-59.35945325219532
462,-101.01153719915078
463,-106.97055588950349
464,-92.97843789807887
465,-113.04342852483597
466,-80.94320512709977
467,-116.50102796295502
468,-101.12542863289406
469,-84.51980155064263
470,-49.446384030341285
471,-112.55973464343435
472,-81.72219968208645
473,-40.017783647300945
474,-80.10646488858531
475,-81.68156327664973
476,-70.287839168457
477,-59.79322734173003
478,-48.640822217416826
479,-44.74200827171892
480,-93.6139054269079
481,-41.16613122247942
482,-32.59786039996055
483,-86.69128731494229
484,-24.22392543896443
485,-56.16077293158471
486,-89.72577982739082
487,-61.25244214768661
488,-87.61642792633972
489,-72.46390763231099
490,-86.02947488740605
491,-86.91944270378099
492,-116.45842354376725
493,-116.73616282600014
494,-61.94533776872183
495,-28.911028550879067
496,-62.441649101992844
497,-33.6364170747637
498,-32.787550958646904
499,-58.42239361188338
500,-145.71711517908818
501,-92.9260896102736
502,-60.2889743063632
503,-29.22294967873107
504,-45.752527290268546
505,-41.45754895464727
506,-91.11228898132549
507,-57.47529425227226
508,-87.67832468929807
509,-58.27418751468588
510,-66.68573295272373
511,-83.72226314171897
512,-85.38923277639283
513,-11.809176927887876
514,-87.93991270506538
515,-17.249335145334655
516,-96.0148465437639
517,-69.00214809540363
518,-111.6431455781235
519,-49.998354924430615
520,26.17877753457526
521,-114.93687252171479
522,-73.93417951766283
523,-127.00681764879707
524,-97.67158027317532
525,-60.64865154787793
526,-80.89017134520083
527,-73.49790341222273
528,-120.52592812220789
529,-6.560864993026328
530,-47.511999962967124
531,-47.87879485283425
532,-73.95499741290588
533,-15.315496701757255
534,-33.666379450460724
535,-79.12435179432794
536,-104.70594634452779
537,-43.08401875712461
538,-67.50177054536775
539,-13.16585049221571
540,-77.54379322436965
541,-61.372339513129305
542,3.7714370958343295
543,-32.312431737142845
544,-22.48523960930099
545,-20.222065395759856
546,-165.38110843912244
547,-47.10941322895385
548,-66.580249029717
549,-31.867472150981598
550,-70.31286344770332
551,-55.80838141975332
552,-40.745080754723645
553,3.960216170535503
554,-96.95370975655914
555,-94.17520078828792
556,-63.187330972423226
557,-43.97665457588624
558,28.26250928250019
559,-74.86023659801472
560,-46.89442438789776
561,-39.53612731774035
562,-64.66998656544314
563,3.3928600491985037
564,-102.12044444597625
565,-51.86693293137338
566,-66.4344455172689
567,-77.30112843426166
568,-58.31178090731041
569,-51.13350116221157
570,-79.56508848475481
571,-53.47846610511145
572,-72.30781485346102
573,-63.5997494794741
574,14.725635084169255
575,-69.75347400802714
576,-157.93959991736637
577,-107.70211731266565
578,-92.3305173715152
579,-79.76736174682917
580,-219.0774151187789
581,-90.13551188143582
582,-101.3967980201188
583,-118.90189895116617
584,3.3650495236462206
585,-77.88209997666473
586,-62.9511846453066
587,-78.90434631221262
588,-78.77123504499329
589,-47.04485625321952
590,-91.20946708910967
591,-25.349102697991498
592,-6.562229540893583
593,-104.41840626091451
594,-84.37822297248647
595,-65.50383519686517
596,-87.9455615070593
597,-62.863166825936624
598,-63.28823067742217
599,4.7188630376776075
600,-70.13118408143313
601,12.38635915053247
602,-107.095687331004
603,-74.35538621486468
604,-32.81840471386275
605,-185.16102313553142
606,-23.743037205768175
607,-28.817677228677226
608,-108.64270736108769
609,25.606234537983454
610,-101.82874922271336
611,-2.3465975479403767
612,-91.97781994765408
613,-84.5504489139333
614,-82.22672956852625
615,-29.812257786611525
616,-49.053216929451324
617,-53.67770840765449
618,-45.242394353700924
619,-117.06336781417278
620,-18.83190984152992
621,-63.92033969464012
622,-207.14913937218068
623,-62.67615038287874
624,-22.38644463275962
625,-27.506268922023267
626,-80.23457239328978
627,-94.66357856237791
628,-59.41483197543361
629,-52.05701753068558
630,-183.1699813034295
631,-83.7371020211307
632,-89.11000970323612
633,-25.37982642054685
634,-67.43683906380153
635,-81.69910890175292
636,-22.23313173385516
637,-43.5136869953076
638,-225.761531276646
639,-93.69720879656458
640,-79.66029678419468
641,-32.34085102680753
642,-53.316513508291244
643,-337.56462788493536
644,-18.393535169016133
645,-32.62847962514495
646,8.473005102811385
647,-54.633875311151286
648,-61.12123303370144
649,-76.94552510945462
650,-12.089436127495489
651,-195.29879021992897
652,-93.04965331575254
653,-23.472657002793625
654,-58.72945921335079
655,-111.01067443726792
656,-64.08793414816412
657,-24.130273280311997
658,-36.86271917666524
659,-304.1082885884658
660,31.396151414243377
661,-180.82033910284997
662,-99.47013441171681
663,-15.236075874419356
664,-36.77382488744776
665,-62.97671610607308
666,-40.49440238211217
667,-56.260803361476675
668,-108.69046305180582
669,16.70675755615369
670,-63.166049169837414
671,2.400887612954236
672,-58.44741093472402
673,-51.55702946283077
674,-61.43690915050623
675,-42.887001995584896
676,-45.75671929776342
677,-41.06980002626952
678,1.746496278662491
679,-82.72508797995722
680,-38.74519400587556
681,-20.63408483957832
682,-50.7020823785255
683,-74.73354533458141
684,-46.36911677640488
685,-60.81904237164182
686,-72.05362090028636
687,-62.26064761603532
688,-217.10011108240798
689,-66.5641449970023
690,-234.93014990066217
691,-149.86988800146224
692,-35.62572329509473
693,-29.146975030354483
694,-76.0243063411624
695,-286.66835791573465
696,-34.09526166152108
697,-56.27021692661556
698,-84.1699384707253
699,-43.39764837172844
700,-87.28739713166038
701,-7.18493335262886
702,-183.7422026449683
703,-50.30240251452801
704,-55.7592194130152
705,-7.5826319028358995
706,-48.89310290876719
707,-59.31985730179174
708,-67.21366891196988
709,-15.700059415486194
